id;marca;modello;potenza;prezzo;prezzo_ui;prezzo_ue;wifi;dimensioni_ui;dimensioni_ue;peso_ui;peso_ue;codice_prodotto;articolo_fornitore;classe_energetica_raffrescamento;classe_energetica_riscaldamento;scheda_tecnica_url;image_url;tipo
1;HAIER;REVIVE;2,5kW - 9000BTU;301.00;;;Sì;;;;835682;;A++;A+;https://drive.google.com/file/d/1Pbhd5ObgVUBuyvefknmYhlKM8oWyCGel/view?usp=drive_link;../images/revive.png;Monosplit;
2;HAIER;REVIVE;3,5kW - 12000BTU;340.00;;;Sì;;;;835686;;A++;A+;https://drive.google.com/file/d/1Pbhd5ObgVUBuyvefknmYhlKM8oWyCGel/view?usp=drive_link;../images/revive.png;Monosplit;
3;HAIER;REVIVE;5,0kW - 18000BTU;591.00;;;Sì;;;;835687;;A++;A+;https://drive.google.com/file/d/1Pbhd5ObgVUBuyvefknmYhlKM8oWyCGel/view?usp=drive_link;../images/revive.png;Monosplit;
4;HAIER;PEARL;2,5kW - 9000BTU;456.00;310.00;146.00;Sì;290x805x200;544x700x245;8;23;UI: 836088 / UE: 836091;UI: AS25PBAHRA / UE: 1U25YEGFRA;A+++;A++;https://www.haiercondizionatori.it/media/11186/d-1/t-file/PEARL-monosplit.pdf;../images/pearl.png;Monosplit
5;HAIER;PEARL;3,5kW - 12000BTU;513.00;347.00;166.00;Sì;290x805x200;544x700x245;8;24;UI: 836090 / UE: 836094;UI: AS35PBAHRA / UE: 1U35YEGFRA;A+++;A++;https://www.haiercondizionatori.it/media/11186/d-1/t-file/PEARL-monosplit.pdf;../images/pearl.png;Monosplit
6;HAIER;PEARL;5,0kW - 18000BTU;793.00;534.00;259.00;Sì;320x975x220;553x800x275;12;33;UI: 764459 / UE: 764467;UI: AS50PDAHRA / UE: 1U50MEGFRA;A++;A+;https://www.haiercondizionatori.it/media/11186/d-1/t-file/PEARL-monosplit.pdf;../images/pearl.png;Monosplit
7;HAIER;PEARL;7,0kW - 24000BTU;1040.00;687.00;353.00;Sì;320x975x220;553x800x275;12;44;UI: 783641 / UE: 783648;UI: AS68PDAHRA / UE: 1U68WEGFRA;A++;A+;https://www.haiercondizionatori.it/media/11186/d-1/t-file/PEARL-monosplit.pdf;../images/pearl.png;Monosplit
8;HAIER;FLEXIS;2,5kW - 9000BTU;682.00;391.00;291.00;Sì;300x856x197;553x800x275;10;30;UI: 732350 / UE: 644831;UI: AS25S2SF1FA-MW3 / UE: 1U25S2SM1FA;A+++;A++;https://www.haiercondizionatori.it/media/11185/d-1/t-file/FLEXIS-PLUS-monosplit.pdf;../images/flexis.png;Monosplit
9;HAIER;FLEXIS;3,5kW - 12000BTU;748.00;432.00;316.00;Sì;300x856x197;553x800x275;10;30;UI: 736328 / UE: 653075;UI: AS35S2SF1FA-MW3 / UE: 1U35S2SM1FA;A+++;A++;https://www.haiercondizionatori.it/media/11185/d-1/t-file/FLEXIS-PLUS-monosplit.pdf;../images/flexis.png;Monosplit
10;MITSUBISHI;HR;2,5kW - 9000BTU;455.00;266.00;189.00;No;280x838x228;538x699x249;9;23;UI: 760295 / UE: 716679;UI: MSZ-HR25VF / UE: MUZ-HR25VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
11;MITSUBISHI;HR;3,5kW - 12000BTU;552.00;339.00;213.00;No;280x838x228;538x699x249;9;24;UI: 760296 / UE: 716682;UI: MSZ-HR35VF / UE: MUZ-HR35VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
12;MITSUBISHI;HR;4,2kW - 15000BTU;715.00;448.00;267.00;No;280x838x228;550x800x285;9;34;UI: 679857 / UE: 679860;UI: MSZ-HR42VF / UE: MUZ-HR42VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
13;MITSUBISHI;HR;5,0kW - 18000BTU;811.00;514.00;297.00;No;280x838x228;550x800x285;9;35;UI: 667317 / UE: 716843;UI: MSZ-HR50VF / UE: MUZ-HR50VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
