id,MARCA,MODELLO,CODICE,PREZZO,TIPO UNITA',WIFI,POTENZA,UNITA' COLLEGABILI,DIMENSIONI mm (AxLxP),PESO (kg),RAFFRESCAMENTO,RISCALDAMENTO,SCHEDA TECNICA,REFRIGERANTE,QUANTITA' REFRIGERANTE
1,HAIER,REVIVE,835806,€491,Esterna,,4,2,,,,,,R32,
2,HAIER,REVIVE,835807,€581,Esterna,,5,2,,,,,,R32,
3,HAIER,REVIVE,835704,€706,Esterna,,"5,5",3,,,,,,R32,
4,HAIER,PEARL e FLEXIS,573470,€682,Esterna,,4kW,2,,,,,,R32,
5,HAIER,PEARL e FLEXIS,573473,€824,Esterna,,5 kW,2,,,,,,R32,
6,HAIER,PEARL e FLEXIS,715459,€928,Esterna,,"5,5kW",3,,,,,,R32,
7,HAIER,PEARL e FLEXIS,764471,€1.232,Esterna,,7,3,,,,,,R32,
8,HAIER,PEARL e FLEXIS,765278,€1.337,Esterna,,"7,5",4,,,,,,R32,
9,HAIER,PEARL e FLEXIS,730440,€1.464,Esterna,,"8,5",4,,,,,,R32,
10,HAIER,PEARL e FLEXIS,733865,€1.805,Esterna,,9,5,,,,,,R32,
11,HAIER,PEARL e FLEXIS,785562,€1.858,Esterna,,"10,5",5,,,,,,R32,
12,MITSUBISHI,HR,651195,€751,Esterna,,4,2,,,,,,R32,
13,MITSUBISHI,HR,716846,€903,Esterna,,5,2,,,,,,R32,
14,MITSUBISHI,HR,716687,€1.158,Esterna,,5,3,,,,,,R32,
15,MITSUBISHI,AY e KIRIGAMINE,715005,€710,Esterna,,"3,3",2,,,,,,R32,
16,MITSUBISHI,AY e KIRIGAMINE,730613,€893,Esterna,,"4,2",2,,,,,,R32,
17,MITSUBISHI,AY e KIRIGAMINE,716667,€1.077,Esterna,,"5,3",2,,,,,,R32,
18,MITSUBISHI,AY e KIRIGAMINE,757920,€1.373,Esterna,,"5,4",3,,,,,,R32,
19,MITSUBISHI,AY e KIRIGAMINE,681483,€1.667,Esterna,,"6,8",3,,,,,,R32,
20,MITSUBISHI,AY e KIRIGAMINE,689636,€1.955,Esterna,,"7,2",4,,,,,,R32,
21,MITSUBISHI,AY e KIRIGAMINE,710734,€2.249,Esterna,,8,4,,,,,,R32,
22,MITSUBISHI,AY e KIRIGAMINE,816479,€2.873,Esterna,,"10,2",5,,,,,,R32,
23,MITSUBISHI,AY e KIRIGAMINE,817055,€3.297,Esterna,,12,6,,,,,,R32,
24,LG,LIBERO SMART,836713,€672,Esterna,,,2,,,,,,R32,
25,LG,LIBERO SMART,836715,€835,Esterna,,,2,,,,,,R32,
26,LG,LIBERO SMART,792716,€1.022,Esterna,,,3,,,,,,R32,
27,LG,LIBERO SMART,836718,€1.485,Esterna,,,3,,,,,,R32,
28,SAMSUNG,WINDFREE,681400,€733,Esterna,,4,2,,,,,,R32,
29,SAMSUNG,WINDFREE,681402,€923,Esterna,,5,2,,,,,,R32,
30,SAMSUNG,WINDFREE,681403,€1.102,Esterna,,"5,2",3,,,,,,R32,
31,SAMSUNG,WINDFREE,680714,€1.461,Esterna,,"6,8",3,,,,,,R32,
32,SAMSUNG,WINDFREE,682202,€1.842,Esterna,,8,4,,,,,,R32,
33,SAMSUNG,WINDFREE,682461,€2.338,Esterna,,10,5,,,,,,R32,
34,DAIKIN,SENSIRA,822100,€942,Esterna,,4,2,,,,,,R32,
35,DAIKIN,SENSIRA,835927,€1.140,Esterna,,5,2,,,,,,R32,
36,DAIKIN,SENSIRA,835928,€1.412,Esterna,,"5,2",3,,,,,,R32,
